time,temperature_1,temperature_2,sigma_1,sigma_2
0,298.0091945374117,288.00114952586512,0.029999999999999999,0.029999999999999999
2,297.78398649310549,288.16715867959562,0.029999999999999999,0.029999999999999999
4,297.5896057591313,288.43688100575446,0.029999999999999999,0.029999999999999999
6,297.44775228053868,288.58914751464323,0.029999999999999999,0.029999999999999999
8,297.27702915792185,288.69312651424997,0.029999999999999999,0.029999999999999999
10,297.18265220990708,288.85387097960052,0.029999999999999999,0.029999999999999999
12,297.00118399650705,289.04021122846927,0.029999999999999999,0.029999999999999999
14,296.81655043686243,289.18067136048569,0.029999999999999999,0.029999999999999999
16,296.63930213210318,289.31866264385434,0.029999999999999999,0.029999999999999999
18,296.57513418237039,289.46546208837066,0.029999999999999999,0.029999999999999999
20,296.42449634473599,289.60845411673728,0.029999999999999999,0.029999999999999999
22,296.2925685888913,289.72611336870619,0.029999999999999999,0.029999999999999999
24,296.13866580663006,289.88433420318097,0.029999999999999999,0.029999999999999999
26,296.04875000098906,289.9332254687547,0.029999999999999999,0.029999999999999999
28,295.96476652756451,290.09685047939524,0.029999999999999999,0.029999999999999999
30,295.80516283831474,290.1937452850936,0.029999999999999999,0.029999999999999999
32,295.760302755005,290.30514037212333,0.029999999999999999,0.029999999999999999
34,295.63891740400692,290.36565997067612,0.029999999999999999,0.029999999999999999
36,295.48553874886585,290.52329823878722,0.029999999999999999,0.029999999999999999
38,295.38906723244628,290.59263756506004,0.029999999999999999,0.029999999999999999
40,295.34417206252249,290.66078617944589,0.029999999999999999,0.029999999999999999
42,295.26448295141654,290.78475965222418,0.029999999999999999,0.029999999999999999
44,295.13604488447913,290.85654312261312,0.029999999999999999,0.029999999999999999
46,295.11146359604146,290.92810958138944,0.029999999999999999,0.029999999999999999
48,294.98387122289779,291.03224485093506,0.029999999999999999,0.029999999999999999
50,294.98210559772468,291.11920416474027,0.029999999999999999,0.029999999999999999
52,294.81402878785127,291.17386612284724,0.029999999999999999,0.029999999999999999
54,294.77223740222314,291.23362201835147,0.029999999999999999,0.029999999999999999
56,294.70641464114271,291.24143300122506,0.029999999999999999,0.029999999999999999
58,294.67139401168913,291.34651186897486,0.029999999999999999,0.029999999999999999
60,294.59877418453391,291.37291713597079,0.029999999999999999,0.029999999999999999
62,294.51421182657032,291.48682047131052,0.029999999999999999,0.029999999999999999
64,294.37299505063538,291.44455683195366,0.029999999999999999,0.029999999999999999
66,294.37840157053779,291.59686444074669,0.029999999999999999,0.029999999999999999
68,294.37184064932956,291.64992222810923,0.029999999999999999,0.029999999999999999
70,294.32267911311334,291.67916178576127,0.029999999999999999,0.029999999999999999
72,294.21162081115006,291.76194806817034,0.029999999999999999,0.029999999999999999
74,294.15784560296424,291.75770850384134,0.029999999999999999,0.029999999999999999
76,294.19507209259137,291.81136462353129,0.029999999999999999,0.029999999999999999
78,294.10209445088174,291.87538134801605,0.029999999999999999,0.029999999999999999
80,294.04400860651521,291.86555705614512,0.029999999999999999,0.029999999999999999
82,294.04346456140502,292.01426318493645,0.029999999999999999,0.029999999999999999
84,294.02365867004181,291.95377964918811,0.029999999999999999,0.029999999999999999
86,293.92588313491473,292.0332654247353,0.029999999999999999,0.029999999999999999
88,293.91694484311409,292.04737678775001,0.029999999999999999,0.029999999999999999
90,293.86942042705425,292.10168963734338,0.029999999999999999,0.029999999999999999
92,293.83467529010818,292.18081839517197,0.029999999999999999,0.029999999999999999
94,293.82183506991794,292.11541371624156,0.029999999999999999,0.029999999999999999
96,293.76541872935911,292.2730473010285,0.029999999999999999,0.029999999999999999
98,293.75518514632506,292.26536883653876,0.029999999999999999,0.029999999999999999
100,293.75491326200927,292.25790710720668,0.029999999999999999,0.029999999999999999
102,293.69069071919154,292.27602638763142,0.029999999999999999,0.029999999999999999
104,293.72452219092946,292.31613633466844,0.029999999999999999,0.029999999999999999
106,293.64561666582136,292.3672712898466,0.029999999999999999,0.029999999999999999
108,293.56481623569891,292.41564443813814,0.029999999999999999,0.029999999999999999
110,293.62706530758658,292.39779378496888,0.029999999999999999,0.029999999999999999
112,293.56844898615361,292.42633042501024,0.029999999999999999,0.029999999999999999
114,293.5790076144101,292.38324355083847,0.029999999999999999,0.029999999999999999
116,293.57007149260119,292.50526085980516,0.029999999999999999,0.029999999999999999
118,293.49338643774377,292.49126485474898,0.029999999999999999,0.029999999999999999
120,293.47524487856208,292.5296437100809,0.029999999999999999,0.029999999999999999
122,293.45403384792814,292.49162759242643,0.029999999999999999,0.029999999999999999
124,293.47966953992704,292.50806909664749,0.029999999999999999,0.029999999999999999
126,293.38895638281434,292.55216587015912,0.029999999999999999,0.029999999999999999
128,293.48933040101463,292.59015682120179,0.029999999999999999,0.029999999999999999
130,293.41373265405417,292.59412205753921,0.029999999999999999,0.029999999999999999
132,293.3743897080609,292.59862895128339,0.029999999999999999,0.029999999999999999
134,293.35198206832223,292.64011451247421,0.029999999999999999,0.029999999999999999
136,293.38269871241073,292.62675727163111,0.029999999999999999,0.029999999999999999
138,293.29480466825919,292.62830037432241,0.029999999999999999,0.029999999999999999
140,293.34146338396124,292.65973552124746,0.029999999999999999,0.029999999999999999
142,293.31190319864794,292.72461775772854,0.029999999999999999,0.029999999999999999
144,293.28111788857944,292.69015039159433,0.029999999999999999,0.029999999999999999
146,293.31601199482043,292.70062918483046,0.029999999999999999,0.029999999999999999
148,293.32504489033175,292.71238178711337,0.029999999999999999,0.029999999999999999
150,293.25491496207775,292.69002094018987,0.029999999999999999,0.029999999999999999
152,293.2990840132058,292.65744653229069,0.029999999999999999,0.029999999999999999
154,293.26457494083172,292.70285424690798,0.029999999999999999,0.029999999999999999
156,293.28197358580945,292.80531507800725,0.029999999999999999,0.029999999999999999
158,293.23375149342894,292.79858652224289,0.029999999999999999,0.029999999999999999
160,293.24529526723165,292.82366211700275,0.029999999999999999,0.029999999999999999
162,293.20860655432006,292.77975800633067,0.029999999999999999,0.029999999999999999
164,293.20020383021216,292.80587902139052,0.029999999999999999,0.029999999999999999
166,293.24730424339282,292.78142854880844,0.029999999999999999,0.029999999999999999
168,293.28398569618764,292.86245170978833,0.029999999999999999,0.029999999999999999
170,293.22131259831104,292.82599415789133,0.029999999999999999,0.029999999999999999
172,293.15545776967087,292.76749471531434,0.029999999999999999,0.029999999999999999
174,293.1798404766684,292.80072054603312,0.029999999999999999,0.029999999999999999
176,293.09515801374084,292.84098661651223,0.029999999999999999,0.029999999999999999
178,293.20326405998964,292.84669208987896,0.029999999999999999,0.029999999999999999
180,293.14324858310249,292.81759587428883,0.029999999999999999,0.029999999999999999
182,293.13267619492063,292.84883017380298,0.029999999999999999,0.029999999999999999
184,293.14255845998019,292.84416985144452,0.029999999999999999,0.029999999999999999
186,293.11203782365004,292.82406159371493,0.029999999999999999,0.029999999999999999
188,293.16380666660035,292.80030332955113,0.029999999999999999,0.029999999999999999
190,293.1788621241439,292.82573557966828,0.029999999999999999,0.029999999999999999
192,293.09775879164539,292.80690118607401,0.029999999999999999,0.029999999999999999
194,293.13925234874716,292.91241664349013,0.029999999999999999,0.029999999999999999
196,293.08903361413718,292.85100555891131,0.029999999999999999,0.029999999999999999
198,293.12098088979849,292.86494281664994,0.029999999999999999,0.029999999999999999
200,293.12879944337141,292.89577108490244,0.029999999999999999,0.029999999999999999
202,293.0711015310174,292.88666072569242,0.029999999999999999,0.029999999999999999
204,293.15539943090624,292.8826474871359,0.029999999999999999,0.029999999999999999
206,293.08320794688552,292.87544586181798,0.029999999999999999,0.029999999999999999
208,293.08143830500052,292.91225701706145,0.029999999999999999,0.029999999999999999
210,293.07191357797939,292.88731104200843,0.029999999999999999,0.029999999999999999
212,293.11207283891156,292.89818015297135,0.029999999999999999,0.029999999999999999
214,293.0853615942915,292.89843996553543,0.029999999999999999,0.029999999999999999
216,293.03249937747671,292.96053210119749,0.029999999999999999,0.029999999999999999
218,293.05938885309638,292.94290210032875,0.029999999999999999,0.029999999999999999
220,293.11585864181302,292.93986923082673,0.029999999999999999,0.029999999999999999
222,293.04443922013553,292.92928410388453,0.029999999999999999,0.029999999999999999
224,293.07927958124878,292.92985339255569,0.029999999999999999,0.029999999999999999
226,293.08764992935573,292.95534696766254,0.029999999999999999,0.029999999999999999
228,293.03780664643364,292.88079077030949,0.029999999999999999,0.029999999999999999
230,293.08752325016439,292.94765509965373,0.029999999999999999,0.029999999999999999
232,293.12287422366876,292.88788189412696,0.029999999999999999,0.029999999999999999
234,293.09857774457709,292.9298402816782,0.029999999999999999,0.029999999999999999
236,293.05353127122481,292.97539174764887,0.029999999999999999,0.029999999999999999
238,293.07093739709791,292.9412936516581,0.029999999999999999,0.029999999999999999
240,293.0347933995144,292.94477072916948,0.029999999999999999,0.029999999999999999
